id,short_name,account_name,address,pan_number,balance,phone_number,email,contact_name,group,collector,guarantee_world_insurer,credit_limit,overdue120,grant_period,pause
,,Adhikhola Rural Municipality,,,0,,,,Normal,,,0,0,0,0
,,Airwati Rural Municipality,,,0,,,,Normal,,,0,0,0,0
,,Badigad Rural Municipality,,,0,,,,Normal,,,0,0,0,0
,,Badikedar Rural Municipality,,,0,,,,Normal,,,0,0,0,0
,,Baganaskali Rural Municipality,,,0,,,,Normal,,,0,0,0,0
,,Bagchaur Municipality,,,0,,,,Normal,,,0,0,0,0
,,Bagmati Rural Municipality,,,0,,,,Normal,,,0,0,0,0
,,Baiteshwor Rural Municipality,,,0,,,,Normal,,,0,0,0,0
,,Bandipur Rural Municipality,,,0,,,,Normal,,,0,0,0,0
,,Bangad Kupinde Municipality,,,0,,,,Normal,,,0,0,0,0
,,Barahachhetra Municipality,,,0,,,,Normal,,,0,0,0,0
,,Barahapokhari Rural Municipality,,,0,,,,Normal,,,0,0,0,0
,,Belauri Municipality,,,0,,,,Normal,,,0,0,0,0
,,Bethanchowk Rural Municipality,,,0,,,,Normal,,,0,0,0,0
,,Bhajani Municipality,,,0,,,,Normal,,,0,0,0,0
,,Bihadi Rural Municipality,,,0,,,,Normal,,,0,0,0,0
,,Buddhashanti Rural Municipality,,,0,,,,Normal,,,0,0,0,0
,,Central Department of Management,,,0,,,,Normal,,,0,0,0,0
,,Chapakot Municipality,,,0,,,,Normal,,,0,0,0,0
,,Chaukune Rural Municipality,,,0,,,,Normal,,,0,0,0,0
,,Chhathar Rural Municipality,,,0,,,,Normal,,,0,0,0,0
,,Damak Municipality,,,0,,,,Normal,,,0,0,0,0
,,Department of Civil Personal Records,,,0,,,,Normal,,,0,0,0,0
,,Department of Police Personal Records,,,0,,,,Normal,,,0,0,0,0
,,Diprung Chuichumma Rural Municipality,,,0,,,,Normal,,,0,0,0,0
,,Dordi Rural Municipality,,,0,,,,Normal,,,0,0,0,0
,,Gangadev Rural Municipality,,,0,,,,Normal,3,,0,0,0,0
,,Godawari Municipality,,,0,,,,Normal,,,0,0,0,0
,,Gokul Ganga Rural Municipality,,,0,,,,Normal,,,0,0,0,0
,,Gujara Municipality,,,0,,,,Normal,,,0,0,0,0
,,Gurbhakot Municipality,,,0,,,,Normal,,,0,0,0,0
,,Ichchhakamana Rural Municipality,,,0,,,,Normal,,,0,0,0,0
,,Inaruwa Municipality,,,0,,,,Normal,,,0,0,0,0
,,Itahari Sub- Metropolitan City,,,0,,,,Normal,,,0,0,0,0
,,Jeetpur Simara Sub-Metropolitan City,,,0,,,,Normal,,,0,0,0,0
,,Kageshwori Manohara Municipality,,,0,,,,Normal,,,0,0,0,0
,,Khajura Rural Municipality,,,0,,,,Normal,,,0,0,0,0
,,Krishnapur Municipality ward no 4,,,0,,,,Normal,,,0,0,0,0
,,Laljhadirural Municipality,,,0,,,,Normal,,,0,0,0,0
,,Lekbeshi Municipality,,,0,,,,Normal,,,0,0,0,0
,,Mahashila Rural Municipality,,,0,,,,Normal,,,0,0,0,0
,,Mahottari Rural Municipality,,,0,,,,Normal,,,0,0,0,0
,,Malikarjun Rural Municipality,,,0,,,,Normal,,,0,0,0,0
,,MANAHARI GAUPALIKA,,,0,,,,Normal,,,0,0,0,0
,,Mangala Rural Municipality,,,0,,,,Normal,,,0,0,0,0
,,Mechinagar Municipality,,,0,,,,Normal,,,0,0,0,0
,,Mithila Municipality,,,0,,,,Normal,3,,0,0,0,0
,,Mugum Karmarong Rural Municipality,,,0,,,,Normal,,,0,0,0,0
,,Namobuddha Municipality,,,0,,,,Normal,,,0,0,0,0
,,Nechasalyan Rural Municipality,,,0,,,,Normal,,,0,0,0,0
,,Neelakantha Municipality,,,0,,,,Normal,,,0,0,0,0
,,Nijgadh Municipality,,,0,,,,Normal,,,0,0,0,0
,,Office of Lamahi Municipality,,,0,,,,Normal,,,0,0,0,0
,,Om Satiya Rural Municipality,,,0,,,,Normal,,,0,0,0,0
,,Palungtar Municipality,,,0,,,,Normal,,,0,0,0,0
,,Patan Municipality,,,0,,,,Normal,,,0,0,0,0
,,Putalibazar Municipality,,,0,,,,Normal,,,0,0,0,0
,,Rajapur Municipality,,,0,,,,Normal,,,0,0,0,0
,,Ramdhuni Municipality,,,0,,,,Normal,,,0,0,0,0
,,Ram gopal Municipality,,,0,,,,Normal,,,0,0,0,0
,,Rautamai Rural Municipality,,,0,,,,Normal,,,0,0,0,0
,,Salpa Silicho Municipality,,,0,,,,Normal,,,0,0,0,0
,,Sanibheri Rural Municipality,,,0,,,,Normal,,,0,0,0,0
,,Shivasatakshi Municipality,,,0,,,,Normal,,,0,0,0,0
,,Siddhicharan Municipality,,,0,,,,Normal,,,0,0,0,0
,,Survey Department,,,0,,,,Normal,,,0,0,0,0
,,Thakurbaba Municipality,,,0,,,,Normal,,,0,0,0,0
,,Triyuga Municipality,,,0,,,,Normal,,,0,0,0,0
,,Urlabari Municipality,,,0,,,,Normal,,,0,0,0,0
,,Waling Municipality,,,0,,,,Normal,,,0,0,0,0
,,Arjun Kharel,,,0,,,,Normal,,,0,0,0,0
,,Anup Sunuwar,,,0,,,,Normal,,,0,0,0,0
,,Audan Nepal One Time Sms,,,0,,,,Normal,,,0,0,0,0
,,Basanta Nepal,,,0,,,,Normal,,,0,0,0,0
,,Bhrikuti sahakari,,,0,,,,Normal,,,0,0,0,0
,,Binod Pandit,,,0,,,,Normal,,,0,0,0,0
,,Biraj Raj Bhandari,,,0,,,,Normal,,,0,0,0,0
,,Ganesh Ji,,,0,,,,Normal,,,0,0,0,0
,,Kiran Kumar Dangol,,,0,,,,Normal,,,0,0,0,0
,,Raj Kumar Shrestha,,,0,,,,Normal,,,0,0,0,0
,,Raju Mahat,,,0,,,,Normal,,,0,0,0,0
,,Rupesh Kafle,,,0,,,,Normal,,,0,0,0,0
,,Sandesh Pokhrel,,,0,,,,Normal,,,0,0,0,0
